"Class","socnumber_0","socnumber_1","socnumber_2","socnumber_3","socnumber_4","socnumber_5","socnumber_6","socnumber_7","socnumber_8","socnumber_9","socnumber_10","socnumber_11","socnumber_12","socnumber_13","socnumber_14","socnumber_15","socnumber_16","socnumber_17","socnumber_18","socnumber_19"
1,0.358653744262,0.354365533662,0.367982432566,0.340126906096,0.351020252475,0.372944975207,0.368592397351,0.334188237148,0.357691209302,0.367503896839,9300.68360656,8750.88669951,9326.57072368,8810.03294893,8879.76237624,9358.25289256,8951.56125828,8506.88225539,8795.35880399,8622.95840266
1,0.371070074419,0.406136004662,0.346493081776,0.345589381733,0.377804807512,0.346933336471,0.370650872642,0.353284070922,0.376494374408,0.35642724228,10193.5906977,10639.4335664,9177.74299065,9421.7470726,9976.38967136,9233.99294118,9748.16273585,9870.0141844,9929.87440758,9776.304038
1,0.346272084507,0.365627618375,0.35057987234,0.350477395018,0.380819632143,0.36386690681,0.351451561151,0.351313386282,0.362166623188,0.351761345455,9750.93309859,9536.3639576,9464,8988.83629893,9722.00357143,9370.70967742,9267.07194245,9616.47292419,9478.48913043,9157.64363636
1,0.369508480565,0.384123485816,0.351803800712,0.336678757143,0.371815795699,0.354960852518,0.341756386282,0.359144130435,0.372574309091,0.348116591241,10122.9045936,9836.83687943,10012.6405694,9387.31071429,9867.37275986,9518.32733813,9407.33212996,9668.68478261,9978.49454545,9406.51459854
1,0.373072328767,0.368141264605,0.342090317241,0.364974083045,0.353900354167,0.358275181185,0.317719737762,0.334589898246,0.362647024648,0.360461770318,10192.3424658,9945.26804124,10014.0655172,9670.85121107,9323.35069444,9507.1533101,8722.44405594,9332.8877193,10058.9260563,9459.64664311
1,0.377905280597,0.367125820359,0.378422165165,0.339181626506,0.340096326284,0.368576975758,0.346181680851,0.360526210366,0.366396021407,0.366177509202,9688,9778.17065868,9632.003003,9435.76807229,9296.03323263,9698.11212121,9207.43465046,9332.80182927,9883.0764526,9366.27607362
1,0.369870748603,0.378326638655,0.353353730337,0.366771183099,0.364274429379,0.339583212465,0.313583707386,0.347049760684,0.364756014286,0.375920679083,9603.76536313,9924.59943978,9348.63202247,9661.21971831,10072.4491525,9659.71388102,8561.48579545,9414.98290598,9803.96571429,9705.05157593
1,0.394237724846,0.416244427984,0.392376513402,0.398334082645,0.391138865424,0.378419556017,0.38511260499,0.39664280625,0.376070490605,0.388456514644,9762.38603696,9887.03703704,9148.14639175,9895.29545455,9586.25879917,9990.71161826,9282.38253638,9553.86875,9311.36951983,9534.40794979
1,0.39714931746,0.414851218688,0.408101820717,0.390068764471,0.39928556,0.408975897796,0.382059026104,0.388510828974,0.409388969758,0.421162963636,9848.75595238,9548.81312127,9733.83864542,10010.2914172,9970.046,9825.60921844,9380.21084337,9517.95573441,9768.16935484,10001.440404
1,0.37798971564,0.401960409524,0.297931578947,0.334641298077,0.400943826087,0.342744854369,0.34476477561,0.354198965686,0.365355339901,0.357480475248,10174.1374408,10282.4714286,8239.5645933,9220.62019231,9762.03864734,9142.74271845,8644.07804878,9187.1372549,8808.73891626,9135.24752475
1,0.357427397196,0.383323159624,0.298135099057,0.306794137441,0.373116085714,0.335304655502,0.307318908654,0.350758845411,0.355138796117,0.335201414634,9918.15420561,10367.7464789,8429.88207547,8588.21327014,9565.24285714,9265.96172249,8864.30288462,9011.57004831,8835.20873786,8937.33170732
1,0.36104075188,0.375436087349,0.346844666667,0.34800191994,0.346167599092,0.364374239394,0.345098611533,0.34027881459,0.364520605784,0.350182483232,9918.33533835,9364.72891566,9239.40422323,9450.29607251,9264.3570348,9562.11363636,8996.91047041,8809.1443769,9893.27245053,9269.45884146
1,0.367118951735,0.362580720544,0.35351511649,0.365784290909,0.347238265554,0.343225474164,0.345696939117,0.331704542683,0.349395743511,0.346408755352,9921.06334842,9469.46827795,9640.14069592,9650.31969697,9669.53110774,9246.5775076,9530.07762557,8920.36585366,9665.17709924,9364.64678899
1,0.363032590015,0.377062462121,0.346776990895,0.359946422492,0.360838893455,0.358061657012,0.365917929771,0.354168938838,0.350488467075,0.354076081288,9927.35552194,9537.16515152,9216.323217,9779.95744681,9579.98934551,9445.85060976,9581.8778626,9068.68501529,9671.30781011,9657.06288344
1,0.385349641509,0.420037611987,0.364928825949,0.373905961905,0.385719414013,0.40045842492,0.370944028846,0.387195173633,0.389427867742,0.388672385113,10127.5440252,10574.3817035,9162.74367089,9653.40634921,10147.1305732,10124.971246,9393.67948718,9677.36012862,10210.6258065,9317.18770227
1,0.39720253944,0.396261107143,0.36768583376,0.378275792308,0.388527066838,0.401971113402,0.361045191214,0.383132261658,0.393407963636,0.366311385417,10270.1221374,10521.7984694,9844.78516624,9913.08717949,9848.99228792,9844.11082474,9504.12661499,9781.63471503,10496.2883117,9757.8984375
1,0.374967144304,0.374521959391,0.357946603053,0.366375137755,0.355073473146,0.360084907692,0.359519861183,0.373227641753,0.367873483204,0.363326660622,10130.0101266,10342.6878173,10051.6692112,10170.1326531,9856.83120205,10136.7076923,9313.55526992,9856.81958763,10253.9328165,9731.84196891
1,0.36912329471,0.368742936869,0.360444756962,0.35726435533,0.379812050891,0.376035977041,0.361239219949,0.366721089744,0.369509164524,0.375091845361,9882.68765743,10404.959596,9975.6556962,9933.00761421,9993.90839695,10238.2755102,9306.90792839,9735.62051282,10080.9151671,9883.25515464
1,0.361112104911,0.382924147651,0.367638542601,0.344064267416,0.380668675676,0.377753419865,0.392596011312,0.363814827664,0.363188170455,0.35430346697,9941.86607143,9969.29082774,9518.93497758,9538.12134831,10205.8963964,9953.6027088,9933.9841629,10239.9433107,9440.35227273,9278.29612756
1,0.386120671906,0.389385086614,0.344308978304,0.378539349802,0.378722029703,0.392622047619,0.374815228628,0.417501183267,0.368018141717,0.389347188,9811.3064833,9856.4015748,9431.9270217,9491.97826087,9454.81782178,10093.5436508,9716.4612326,9673.05179283,9774.39321357,9492.19
1,0.400754936073,0.370042279817,0.366685050691,0.38301074537,0.386148572093,0.373202042056,0.349731169014,0.357401599057,0.379616018957,0.375970785714,11117.6438356,10301.3027523,10225.7741935,10018.9814815,10564.8139535,10484.2897196,10138.258216,9928,9965.86729858,10294.6238095
1,0.367802685969,0.381684296875,0.358921241611,0.35791823991,0.386480262921,0.37768052027,0.37292020316,0.367377242081,0.367925072562,0.3746697,10197.4209354,10108.4709821,9438.69798658,9673.9058296,10228.6516854,9970.91666667,9950.72460497,10021.8552036,10104.9478458,9365.22045455
1,0.37134277951,0.376671060268,0.364642071588,0.357724903587,0.369906685393,0.385600031532,0.385143819413,0.372107337104,0.379790478458,0.380952647727,10121.3429844,10073.4709821,9514.82774049,9375.84977578,9812.36853933,10288.0045045,9673.23702032,10255.6153846,9802.07029478,9350.45909091
