"Class","apaac_0","apaac_1","apaac_2","apaac_3","apaac_4","apaac_5","apaac_6","apaac_7","apaac_8","apaac_9","apaac_10","apaac_11","apaac_12","apaac_13","apaac_14","apaac_15","apaac_16","apaac_17","apaac_18","apaac_19","apaac_20","apaac_21","apaac_22","apaac_23","apaac_24","apaac_25"
1,0.111,0.002,0.066,0.1,0.023,0.074,0.006,0.058,0.07,0.078,0.013,0.034,0.036,0.052,0.038,0.039,0.063,0.081,0,0.013,0.001,0.004,0.019,-0.003,0.009,0.013
1,0.104,0.002,0.068,0.089,0.038,0.108,0.016,0.078,0.054,0.073,0.028,0.057,0.026,0.019,0.04,0.049,0.057,0.075,0.002,0.031,-0.002,-0.004,0.014,-0.012,-0.012,0
1,0.102,0.01,0.031,0.102,0.031,0.096,0.031,0.055,0.068,0.068,0.031,0.034,0.044,0.024,0.02,0.058,0.058,0.085,0,0.024,0.001,0.003,0.017,-0.002,-0.003,0.012
1,0.108,0.01,0.059,0.077,0.021,0.105,0.035,0.08,0.08,0.059,0.028,0.035,0.038,0.024,0.01,0.045,0.049,0.098,0.007,0.021,-0.006,-0.005,0.019,-0.006,-0.01,0.015
1,0.133,0.007,0.041,0.099,0.034,0.106,0.027,0.075,0.058,0.065,0.024,0.048,0.038,0.027,0.024,0.038,0.041,0.082,0.007,0.027,-0.005,-0.006,0.011,-0.004,-0.007,0.011
1,0.101,0.006,0.077,0.068,0.03,0.083,0.015,0.042,0.062,0.077,0.024,0.045,0.024,0.036,0.042,0.053,0.077,0.107,0.006,0.024,-0.006,-0.003,0.008,-0.007,-0.003,0.011
1,0.09,0.008,0.064,0.059,0.039,0.095,0.017,0.056,0.067,0.067,0.028,0.05,0.028,0.025,0.042,0.053,0.076,0.109,0.006,0.025,-0.002,-0.006,0.011,-0.01,-0.008,0.009
1,0.061,0,0.073,0.082,0.059,0.063,0.027,0.048,0.057,0.063,0.019,0.065,0.063,0.038,0.065,0.057,0.059,0.073,0.015,0.038,-0.009,0.001,-0.002,-0.008,-0.007,0.004
1,0.056,0.004,0.083,0.075,0.063,0.077,0.03,0.048,0.057,0.05,0.03,0.061,0.052,0.05,0.063,0.04,0.059,0.048,0.014,0.042,0,0.006,0.001,-0.01,-0.003,0.004
1,0.117,0,0.063,0.068,0.034,0.068,0.039,0.102,0.063,0.112,0.02,0.049,0.034,0.024,0.039,0.044,0.073,0.073,0.005,0.005,-0.016,-0.007,0.01,-0.007,-0.012,-0.002
1,0.132,0.005,0.047,0.085,0.038,0.066,0.033,0.099,0.061,0.08,0.019,0.047,0.033,0.019,0.033,0.042,0.061,0.104,0.005,0.005,-0.007,-0.006,0.015,-0.009,-0.013,0.006
1,0.118,0.001,0.055,0.078,0.031,0.086,0.024,0.04,0.048,0.079,0.033,0.043,0.039,0.025,0.039,0.067,0.063,0.069,0.015,0.04,0.001,0,0.009,-0.01,-0.007,0.014
1,0.11,0.001,0.052,0.074,0.037,0.091,0.022,0.042,0.058,0.086,0.022,0.045,0.045,0.027,0.033,0.067,0.054,0.074,0.015,0.033,-0.001,-0.005,0.007,-0.005,-0.003,0.018
1,0.088,0,0.048,0.09,0.043,0.09,0.025,0.036,0.057,0.091,0.019,0.054,0.045,0.022,0.031,0.078,0.054,0.072,0.012,0.034,0,0.001,0.008,-0.007,-0.006,0.014
1,0.084,0,0.069,0.072,0.034,0.128,0.025,0.084,0.047,0.1,0.016,0.034,0.019,0.019,0.066,0.05,0.053,0.069,0.003,0.025,0.008,0.001,0.011,-0.01,-0.01,0.004
1,0.115,0.002,0.075,0.085,0.037,0.09,0.015,0.052,0.092,0.085,0.022,0.035,0.035,0.01,0.032,0.047,0.037,0.09,0.005,0.02,-0.007,0.003,0.009,-0.003,-0.005,0.02
1,0.098,0.002,0.073,0.076,0.044,0.1,0.012,0.056,0.093,0.098,0.02,0.037,0.032,0.012,0.02,0.049,0.051,0.083,0.005,0.007,-0.002,0.002,0.018,-0.007,0.001,0.018
1,0.105,0,0.066,0.083,0.036,0.112,0.007,0.063,0.083,0.09,0.012,0.041,0.029,0.019,0.024,0.046,0.041,0.088,0.007,0.015,0,0.006,0.015,-0.006,0.003,0.016
1,0.096,0,0.07,0.072,0.048,0.077,0.013,0.055,0.072,0.092,0.013,0.039,0.033,0.035,0.035,0.055,0.05,0.068,0.009,0.05,0.005,0.006,0.008,-0.007,-0.003,0.007
1,0.09,0,0.07,0.084,0.043,0.076,0.031,0.067,0.07,0.074,0.023,0.061,0.047,0.02,0.035,0.047,0.053,0.076,0.006,0.023,-0.001,0.003,0.003,-0.008,-0.005,0.01
1,0.102,0.009,0.071,0.093,0.031,0.067,0.013,0.089,0.075,0.111,0.013,0.036,0.022,0.022,0.027,0.053,0.049,0.071,0.004,0.018,0.005,-0.007,0.015,-0.003,-0.002,0.015
1,0.075,0.004,0.053,0.094,0.053,0.086,0.02,0.048,0.072,0.103,0.02,0.046,0.031,0.026,0.033,0.053,0.057,0.059,0.007,0.048,0.005,0.006,0.004,-0.005,-0.002,0.005
1,0.092,0,0.068,0.076,0.057,0.083,0.02,0.052,0.081,0.09,0.007,0.052,0.033,0.015,0.033,0.05,0.05,0.07,0.007,0.048,0.004,0.005,0.009,-0.009,0.001,0.007
1,0.146,0.015,0.054,0.085,0.031,0.073,0.015,0.069,0.05,0.062,0.012,0.035,0.031,0.035,0.039,0.058,0.05,0.073,0.012,0.023,0.001,0.003,0.019,-0.002,-0.005,0.016
1,0.102,0.011,0.053,0.098,0.026,0.079,0.015,0.064,0.075,0.057,0.019,0.038,0.03,0.038,0.023,0.057,0.06,0.083,0.008,0.019,0.005,0.009,0.017,-0.002,0.001,0.016
1,0.151,0.019,0.068,0.068,0.034,0.068,0.008,0.034,0.064,0.064,0.019,0.038,0.034,0.03,0.019,0.053,0.042,0.106,0.008,0.026,0.007,0,0.024,0.004,-0.006,0.017
1,0.1,0.003,0.061,0.107,0.035,0.059,0.012,0.066,0.066,0.1,0.033,0.037,0.031,0.024,0.044,0.059,0.056,0.077,0.003,0.024,-0.002,-0.001,0.008,-0.006,-0.005,0.004
1,0.094,0.007,0.072,0.093,0.031,0.061,0.01,0.077,0.059,0.098,0.031,0.052,0.033,0.037,0.042,0.047,0.052,0.073,0.002,0.026,-0.001,0.003,0.006,-0.007,-0.004,0.003
1,0.133,0.003,0.07,0.093,0.037,0.059,0.014,0.056,0.054,0.089,0.045,0.038,0.031,0.037,0.04,0.045,0.056,0.079,0.003,0.024,-0.004,0,0.008,-0.007,-0.01,0.006
1,0.111,0,0.061,0.084,0.034,0.066,0.008,0.063,0.063,0.069,0.026,0.045,0.042,0.063,0.045,0.037,0.053,0.053,0.011,0.042,0.006,0.01,0.008,-0.004,0,0.003
1,0.094,0,0.055,0.097,0.043,0.091,0.009,0.07,0.049,0.07,0.024,0.03,0.043,0.04,0.046,0.046,0.052,0.107,0.003,0.021,-0.003,-0.003,0.009,-0.002,-0.004,0.013
